 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Info  |  * Initialise: ClipboardManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_clipboardmanager.cpp  |  19
12:06:44  |  General  |  Info  |  ClipboardManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_clipboardmanager.cpp  |  26
12:06:44  |  General  |  Info  |  * Initialise: LayoutManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_layoutmanager.cpp  |  25
12:06:44  |  General  |  Info  |  LayoutManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_layoutmanager.cpp  |  31
12:06:44  |  General  |  Info  |  * Initialise: DynLibManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_dynlibmanager.cpp  |  18
12:06:44  |  General  |  Info  |  DynLibManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_dynlibmanager.cpp  |  20
12:06:44  |  General  |  Info  |  * Initialise: PluginManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_pluginmanager.cpp  |  21
12:06:44  |  General  |  Info  |  PluginManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_pluginmanager.cpp  |  25
12:06:44  |  General  |  Info  |  * Initialise: DelegateManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_delegatemanager.cpp  |  17
12:06:44  |  General  |  Info  |  DelegateManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_delegatemanager.cpp  |  21
12:06:44  |  General  |  Info  |  * Initialise: LanguageManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_languagemanager.cpp  |  21
12:06:44  |  General  |  Info  |  LanguageManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_languagemanager.cpp  |  28
12:06:44  |  General  |  Info  |  Load ini file 'gui/core/gui.layer' from resource group : General  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_resourcemanager.cpp  |  130
12:06:44  |  General  |  Info  |  Load ini file 'gui/core/gui.skin' from resource group : General  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_resourcemanager.cpp  |  130
12:06:44  |  General  |  Info  |  Register value : 'HCenter' = 0  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  161
12:06:44  |  General  |  Info  |  Register value : 'VCenter' = 0  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  162
12:06:44  |  General  |  Info  |  Register value : 'Center' = 0  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  163
12:06:44  |  General  |  Info  |  Register value : 'Left' = 2  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  164
12:06:44  |  General  |  Info  |  Register value : 'Right' = 4  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  165
